job_name,company_name,salary,city,district,experience,education,skill_tags,description,source,crawl_time,min_salary,max_salary
数据分析师,百度智能科技有限公司,37-28K,成都,,经验不限,本科,"市场营销,品牌推广,新媒体运营,营销策划",负责产品设计工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,8297,48399
全栈工程师,网易数据服务有限公司,27-17K,杭州,,1-3 年,硕士,"营销策划,品牌推广",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,9067,16661
后端开发工程师,美团智能科技有限公司,38-58K,成都,天河区,5-10 年,硕士,"量化分析,投资分析,财务报表,金融分析,风险管理",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27252,36040
产品经理,华为网络技术有限公司,27-37K,成都,,5-10 年,大专,"市场营销,营销策划",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,41668,55454
产品经理,VIVO智能科技有限公司,41-44K,上海,南山区,3-5 年,博士,"电路设计,硬件开发,FPGA,嵌入式,PCB",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,29014,20676
产品经理,阿里系统有限公司,8-51K,广州,朝阳区,3-5 年,本科,"FPGA,单片机,电路设计,嵌入式,PCB",负责产品设计工作，要求高中及以上学历,generated,2026-03-30 19:41:46,35332,39535
UI 设计师,美团网络技术有限公司,26-33K,南京,浦东新区,5-10 年,高中,"嵌入式,电路设计",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,38228,58672
系统架构师,美团信息技术有限公司,40-76K,成都,,5-10 年,博士,"沟通协调,项目管理,商业分析,数据分析,团队协作",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,18515,51832
测试工程师,阿里系统有限公司,24-72K,成都,,1-3 年,高中,"金融分析,风险管理,投资分析,财务报表,量化分析",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,37687,73093
UI 设计师,京东数据服务有限公司,36-73K,成都,海淀区,应届生,大专,"数据库,C++",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,17544,22949
网络工程师,字节智能科技有限公司,46-57K,北京,浦东新区,5-10 年,大专,"Photoshop,平面设计,UX 设计,Figma",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,13888,49357
测试工程师,小米网络技术有限公司,47-45K,苏州,朝阳区,应届生,博士,"数据结构,C++",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,31518,55088
算法工程师,华为智能科技有限公司,17-46K,武汉,浦东新区,1-3 年,博士,"单片机,PCB,FPGA,硬件开发,嵌入式",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,41962,42681
网络工程师,腾讯科技有限公司,41-59K,北京,,应届生,本科,"硬件开发,FPGA,电路设计",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,32658,60929
网络工程师,京东系统有限公司,49-49K,北京,,1-3 年,大专,"数据分析,沟通协调",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,47142,17032
数据分析师,腾讯网络技术有限公司,20-50K,南京,浦东新区,5-10 年,大专,"Vue,Git,软件开发,Spring,软件工程",负责数据分析工作，要求博士及以上学历,generated,2026-03-30 19:41:46,49475,26774
后端开发工程师,京东信息技术有限公司,10-51K,南京,天河区,1-3 年,大专,"敏捷开发,Vue,软件开发,软件工程",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,46257,67715
运维工程师,字节数据服务有限公司,12-20K,成都,朝阳区,应届生,硕士,"深度学习,PyTorch,机器学习,CV,NLP",负责产品设计工作，要求大专及以上学历,generated,2026-03-30 19:41:46,24948,50446
Java 开发工程师,华为网络技术有限公司,16-49K,武汉,朝阳区,1-3 年,大专,"TensorFlow,NLP",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,29271,66926
网络工程师,美团智能科技有限公司,19-26K,广州,南山区,经验不限,高中,"营销策划,市场调研,市场营销,新媒体运营",负责数据分析工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,10528,22815
Python 开发工程师,京东信息技术有限公司,27-26K,杭州,,经验不限,硕士,"营销策划,品牌推广,市场调研,市场营销",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,38766,55154
产品经理,美团网络技术有限公司,43-63K,深圳,天河区,5-10 年,博士,"软件开发,软件工程,敏捷开发",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,42465,52833
软件工程师,字节信息技术有限公司,46-21K,上海,朝阳区,1-3 年,本科,"Vue,软件开发,Spring,软件工程,敏捷开发",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,40647,27665
前端开发工程师,阿里科技有限公司,20-30K,成都,天河区,1-3 年,硕士,"硬件开发,FPGA,电路设计,单片机,嵌入式",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,43527,21336
前端开发工程师,京东系统有限公司,41-68K,武汉,朝阳区,5-10 年,高中,"品牌推广,营销策划,市场调研,新媒体运营",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,41262,65410
系统架构师,VIVO系统有限公司,11-15K,成都,天河区,1-3 年,硕士,"商业分析,沟通协调,数据分析",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27510,35116
产品经理,京东信息技术有限公司,38-79K,成都,,3-5 年,博士,"投资分析,量化分析",负责产品设计工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,11240,40676
Java 开发工程师,网易数据服务有限公司,41-79K,西安,海淀区,经验不限,博士,"敏捷开发,Git,Spring,软件工程",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,20741,72639
UI 设计师,字节信息技术有限公司,34-73K,西安,海淀区,5-10 年,高中,"沟通协调,项目管理",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,25228,18789
算法工程师,美团信息技术有限公司,16-61K,南京,南山区,1-3 年,大专,"品牌推广,市场营销,新媒体运营,营销策划,市场调研",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,11011,38368
系统架构师,阿里系统有限公司,15-15K,苏州,海淀区,5-10 年,高中,"机器学习,PyTorch,NLP",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,47704,43023
算法工程师,京东网络技术有限公司,41-30K,北京,,3-5 年,硕士,"平面设计,UI 设计",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,24348,71017
前端开发工程师,阿里科技有限公司,40-17K,南京,海淀区,1-3 年,高中,"Figma,Sketch,平面设计",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,12577,29012
产品经理,阿里系统有限公司,48-50K,广州,南山区,1-3 年,博士,"市场营销,新媒体运营",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,44435,73652
网络工程师,阿里信息技术有限公司,23-51K,南京,朝阳区,5-10 年,高中,"量化分析,财务报表,风险管理,投资分析,金融分析",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,41485,65149
数据分析师,网易信息技术有限公司,36-44K,成都,南山区,经验不限,大专,"机器学习,TensorFlow,深度学习,CV",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,19339,45435
算法工程师,OPPO信息技术有限公司,41-21K,苏州,海淀区,5-10 年,硕士,"FPGA,单片机",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,33710,46998
全栈工程师,网易科技有限公司,22-75K,杭州,天河区,应届生,硕士,"品牌推广,市场调研",负责软件开发工作，要求大专及以上学历,generated,2026-03-30 19:41:46,30995,32087
